tipo,precio,indice,timestamp,tipo_mercado,indicadores_usados,rsi,adx,votes,sl,tp,ganancia,duracion
compra,1827.49,33,2025-05-05 23:06:00,desconocido,"['MACD_hist', 'Ichimoku_Tenkan', 'ATR']",40,25,3,1.0,2.0,,
venta,1827.03,34,2025-05-05 23:07:00,desconocido,"[{'accion': 'vender', 'motivo': 'stop_loss', 'precio_activado': np.float64(1827.03)}]",60,25,3,1.0,2.0,-0.4600000000000364,1.0
compra,1826.99,35,2025-05-05 23:08:00,desconocido,"['MACD_hist', 'Ichimoku_Tenkan', 'ATR']",40,25,3,1.0,2.0,,
venta,1826.58,36,2025-05-05 23:09:00,desconocido,"['Ichimoku_Tenkan', {'accion': 'vender', 'motivo': 'stop_loss', 'precio_activado': np.float64(1826.58)}]",60,25,3,1.0,2.0,-0.41000000000008185,1.0
compra,1827.71,37,2025-05-05 23:10:00,desconocido,"['MACD_hist', 'Ichimoku_Tenkan', 'ATR']",40,25,3,1.0,2.0,,
venta,1826.42,38,2025-05-05 23:11:00,desconocido,"['Ichimoku_Tenkan', {'accion': 'vender', 'motivo': 'stop_loss', 'precio_activado': np.float64(1826.42)}]",60,25,3,1.0,2.0,-1.2899999999999636,1.0
compra,1828.0,40,2025-05-05 23:13:00,desconocido,"['MACD_hist', 'Ichimoku_Tenkan', 'ATR']",40,25,3,1.0,2.0,,
venta,1826.52,41,2025-05-05 23:14:00,desconocido,"['Ichimoku_Tenkan', {'accion': 'vender', 'motivo': 'stop_loss', 'precio_activado': np.float64(1826.52)}]",60,25,3,1.0,2.0,-1.4800000000000182,1.0
compra,1828.06,43,2025-05-05 23:16:00,desconocido,"['MACD_hist', 'Ichimoku_Tenkan', 'ATR']",40,25,3,1.0,2.0,,
venta,1828.5,44,2025-05-05 23:17:00,desconocido,"['BB_Upper', {'accion': 'vender', 'motivo': 'stop_loss', 'precio_activado': np.float64(1828.5)}]",60,25,3,1.0,2.0,0.44000000000005457,1.0
compra,1827.6,45,2025-05-05 23:18:00,desconocido,"['ADX', 'MACD_hist', 'Ichimoku_Tenkan', 'ATR']",40,25,3,1.0,2.0,,
venta,1827.67,46,2025-05-05 23:19:00,desconocido,"['ADX', {'accion': 'vender', 'motivo': 'stop_loss', 'precio_activado': np.float64(1827.67)}]",60,25,3,1.0,2.0,0.07000000000016371,1.0
compra,1828.0,47,2025-05-05 23:20:00,desconocido,"['ADX', 'MACD_hist', 'Ichimoku_Tenkan', 'ATR']",40,25,3,1.0,2.0,,
venta,1828.58,48,2025-05-05 23:21:00,desconocido,"['ADX', {'accion': 'vender', 'motivo': 'stop_loss', 'precio_activado': np.float64(1828.58)}]",60,25,3,1.0,2.0,0.5799999999999272,1.0
compra,1828.5,49,2025-05-05 23:22:00,desconocido,"['ADX', 'MACD_hist', 'Ichimoku_Tenkan', 'ATR']",40,25,3,1.0,2.0,,
venta,1829.97,50,2025-05-05 23:23:00,desconocido,"['RSI', 'ADX', 'BB_Upper', {'accion': 'vender', 'motivo': 'take_profit', 'precio_activado': np.float64(1829.97)}]",60,25,3,1.0,2.0,1.4700000000000273,1.0
compra,1828.61,51,2025-05-05 23:24:00,desconocido,"['ADX', 'MACD_hist', 'ATR']",40,25,3,1.0,2.0,,
venta,1827.3,52,2025-05-05 23:25:00,desconocido,"['ADX', 'Ichimoku_Tenkan', {'accion': 'vender', 'motivo': 'stop_loss', 'precio_activado': np.float64(1827.3)}]",60,25,3,1.0,2.0,-1.3099999999999454,1.0
compra,1824.99,53,2025-05-05 23:26:00,desconocido,"['RSI', 'ADX', 'BB_Lower', 'ATR']",40,25,3,1.0,2.0,,
venta,1825.72,54,2025-05-05 23:27:00,desconocido,"['ADX', 'MACD_hist', 'Ichimoku_Tenkan', {'accion': 'vender', 'motivo': 'take_profit', 'precio_activado': np.float64(1825.72)}]",60,25,3,1.0,2.0,0.7300000000000182,1.0
compra,1821.98,67,2025-05-05 23:40:00,desconocido,"['RSI', 'ADX', 'ATR']",40,25,3,1.0,2.0,,
venta,1822.09,68,2025-05-05 23:41:00,desconocido,"['ADX', 'MACD_hist', 'Ichimoku_Tenkan', {'accion': 'vender', 'motivo': 'stop_loss', 'precio_activado': np.float64(1822.09)}]",60,25,3,1.0,2.0,0.10999999999989996,1.0
compra,1822.24,69,2025-05-05 23:42:00,desconocido,"['RSI', 'ADX', 'ATR']",40,25,3,1.0,2.0,,
venta,1822.4,70,2025-05-05 23:43:00,desconocido,"['ADX', 'MACD_hist', 'Ichimoku_Tenkan', {'accion': 'vender', 'motivo': 'stop_loss', 'precio_activado': np.float64(1822.4)}]",60,25,3,1.0,2.0,0.16000000000008185,1.0
compra,1822.46,71,2025-05-05 23:44:00,desconocido,"['RSI', 'ADX', 'ATR']",40,25,3,1.0,2.0,,
venta,1822.24,72,2025-05-05 23:45:00,desconocido,"['ADX', 'MACD_hist', 'Ichimoku_Tenkan', {'accion': 'vender', 'motivo': 'stop_loss', 'precio_activado': np.float64(1822.24)}]",60,25,3,1.0,2.0,-0.22000000000002728,1.0
compra,1822.19,73,2025-05-05 23:46:00,desconocido,"['RSI', 'ADX', 'ATR']",40,25,3,1.0,2.0,,
venta,1820.77,74,2025-05-05 23:47:00,desconocido,"['ADX', 'MACD_hist', 'Ichimoku_Tenkan', {'accion': 'vender', 'motivo': 'stop_loss', 'precio_activado': np.float64(1820.77)}]",60,25,3,1.0,2.0,-1.4200000000000728,1.0
compra,1820.72,75,2025-05-05 23:48:00,desconocido,"['RSI', 'ADX', 'ATR']",40,25,3,1.0,2.0,,
venta,1819.97,76,2025-05-05 23:49:00,desconocido,"['ADX', 'MACD_hist', 'Ichimoku_Tenkan', {'accion': 'vender', 'motivo': 'stop_loss', 'precio_activado': np.float64(1819.97)}]",60,25,3,1.0,2.0,-0.75,1.0
compra,1819.26,77,2025-05-05 23:50:00,desconocido,"['RSI', 'ADX', 'BB_Lower', 'ATR']",40,25,3,1.0,2.0,,
venta,1817.4,78,2025-05-05 23:51:00,desconocido,"['ADX', 'MACD_hist', 'Ichimoku_Tenkan', {'accion': 'vender', 'motivo': 'stop_loss', 'precio_activado': np.float64(1817.4)}]",60,25,3,1.0,2.0,-1.8599999999999,1.0
compra,1818.39,79,2025-05-05 23:52:00,desconocido,"['RSI', 'ADX', 'ATR']",40,25,3,1.0,2.0,,
venta,1819.09,80,2025-05-05 23:53:00,desconocido,"['ADX', 'MACD_hist', 'Ichimoku_Tenkan', {'accion': 'vender', 'motivo': 'stop_loss', 'precio_activado': np.float64(1819.09)}]",60,25,3,1.0,2.0,0.6999999999998181,1.0
compra,1818.64,81,2025-05-05 23:54:00,desconocido,"['RSI', 'ADX', 'ATR']",40,25,3,1.0,2.0,,
venta,1820.33,82,2025-05-05 23:55:00,desconocido,"['ADX', 'MACD_hist', {'accion': 'vender', 'motivo': 'take_profit', 'precio_activado': np.float64(1820.33)}]",60,25,3,1.0,2.0,1.6899999999998272,1.0
compra,1820.46,83,2025-05-05 23:56:00,desconocido,"['ADX', 'MACD_hist', 'Ichimoku_Tenkan', 'ATR']",40,25,3,1.0,2.0,,
venta,1819.89,84,2025-05-05 23:57:00,desconocido,"['ADX', {'accion': 'vender', 'motivo': 'stop_loss', 'precio_activado': np.float64(1819.89)}]",60,25,3,1.0,2.0,-0.5699999999999363,1.0
compra,1819.81,85,2025-05-05 23:58:00,desconocido,"['ADX', 'MACD_hist', 'Ichimoku_Tenkan', 'ATR']",40,25,3,1.0,2.0,,
